date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:09	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:14%20GMT	https://mihirthakkar.ml/css/font/xcon.ttf?4965248	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/font/xcon8158.ttf	(from https://mihirthakkar.ml/css/plugins.css)
12:35:11	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:15%20GMT	https://mihirthakkar.ml/css/font/xcon.svg?4965248	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/font/xcon8158.svg	(from https://mihirthakkar.ml/css/plugins.css)
12:35:12	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:16%20GMT	https://mihirthakkar.ml/css/ytp-regular.eot	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/ytp-regular.eot	(from https://mihirthakkar.ml/css/plugins.css)
12:35:13	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:17%20GMT	https://mihirthakkar.ml/css/ytp-regular.ttf	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/ytp-regular.ttf	(from https://mihirthakkar.ml/css/plugins.css)
12:35:14	18320/18320	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:18%20GMT	https://mihirthakkar.ml/images/raster.png	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/images/raster.png	(from https://mihirthakkar.ml/css/plugins.css)
12:35:15	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:20%20GMT	https://mihirthakkar.ml/images/raster@2x.png	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/images/raster@2x.png	(from https://mihirthakkar.ml/css/plugins.css)
12:35:16	18320/18320	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:21%20GMT	https://mihirthakkar.ml/images/raster_dot.png	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/images/raster_dot.png	(from https://mihirthakkar.ml/css/plugins.css)
12:35:17	18320/18320	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:22%20GMT	https://mihirthakkar.ml/images/raster_dot@2x.png	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/images/raster_dot@2x.png	(from https://mihirthakkar.ml/css/plugins.css)
12:35:19	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:23%20GMT	https://mihirthakkar.ml/css/mCSB_buttons.png	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/mCSB_buttons.png	(from https://mihirthakkar.ml/css/plugins.css)
12:35:20	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:25%20GMT	https://mihirthakkar.ml/css/overlays/02.png	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/css/overlays/02.png	(from https://mihirthakkar.ml/css/plugins.css)
12:35:21	18319/18319	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Apr%202021%2007:05:26%20GMT	https://mihirthakkar.ml//img/slider/6.jpg	E:/mihir%20copy/mihirs%20copy/mihirthakkar.ml/img/slider/6.jpg	(from https://mihirthakkar.ml/css/stylem.css)
